,Alpha,Delta_Pb,P_bar,T,rpm,rho,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,q_inf,p_s_inf,c_n,c_l,p_s_avg,P050_v,P051_v,P052_v,P053_v,P054_v,P055_v,P056_v,P057_v,P058_v,P059_v,P060_v,P061_v,P062_v,P063_v,P064_v,P065_v,P066_v,P067_v,P068_v,P069_v,P070_v,P071_v,P072_v,P073_v,P074_v,P075_v,P076_v,P077_v,P078_v,P079_v,P080_v,P081_v,P082_v,P083_v,P084_v,P085_v,P086_v,P087_v,P088_v,P089_v,P090_v,P091_v,P092_v,P093_v,P094_v,P095_v,P096_v,V_inf
15,7.0,139.77,1025.29,20.83,889.93,1.215,-510.61,-457.14,-474.33,-420.49,-371.28,-328.43,-295.95,-273.92,-250.81,-236.46,-212.75,-205.63,-188.04,-165.95,-139.85,-122.0,-106.03,-88.83,-70.64,-54.95,-38.93,-19.31,0.11,16.01,37.76,-506.88,243.18,273.14,198.85,137.69,106.07,88.18,74.84,64.95,56.55,50.11,44.57,39.52,36.19,33.41,30.74,29.17,28.96,29.31,30.86,32.93,35.98,39.03,37.76,293.32,294.32,294.48,293.11,293.05,293.98,295.28,294.24,293.88,293.86,294.08,293.47,294.17,293.3,293.89,294.15,293.29,292.92,293.54,294.83,293.51,279.87,252.3,232.43,242.15,273.08,289.58,293.26,293.76,294.06,292.86,294.17,294.58,289.93,294.78,296.25,295.48,295.29,294.02,295.55,293.96,295.43,294.66,293.03,293.37,295.36,294.67,294.71,10.58,17.09,17.69,16.37,15.27,15.34,15.88,14.55,13.46,11.97,11.88,17.59,-0.07,-0.01,-0.11,-0.08,273.4216221533284,21.28837784667155,0.7930750228977833,0.7990308778955179,14.805833333333332,21.41166816499083,21.450072823714635,21.456211189962172,21.403594431668157,21.40128709127648,21.437022959374936,21.486876717109013,21.447002981765607,21.43318325184736,21.43241522779387,21.440861979273738,21.417433253962265,21.444316509565287,21.410899369176022,21.433567253553946,21.443548884261546,21.410514960916572,21.396287000171082,21.42012309781102,21.46963274756931,21.418970348953,20.88826502877174,19.772124313356564,18.92694061206894,19.345001445665094,20.618987879614707,21.267420036451497,21.40936169472558,21.428574694623826,21.440094230286547,21.39397887167301,21.444316509565287,21.460046777249946,21.280960661918,21.46771589593899,21.524000066789895,21.494536263042228,21.487259759252485,21.43855864982922,21.497216459362498,21.436255072891544,21.492621632469323,21.463114753561612,21.40051792253023,21.413590033771328,21.489940863088474,21.463498219766134,21.215012238632205
16,8.0,138.89,1025.29,20.87,889.86,1.215,-785.33,-577.5,-577.44,-484.92,-415.56,-364.19,-325.09,-300.45,-271.55,-241.11,-209.31,-199.6,-186.2,-173.91,-149.27,-129.16,-110.39,-91.95,-72.56,-55.77,-39.42,-19.54,-0.56,14.97,35.13,-782.89,196.27,284.37,220.9,158.0,123.93,103.96,89.44,78.26,68.72,61.29,54.94,49.09,44.85,41.37,37.86,35.54,34.67,34.21,35.15,36.51,38.88,41.02,35.13,293.52,294.49,294.61,293.35,293.37,294.13,295.25,294.27,294.06,294.08,294.23,293.61,294.32,293.47,294.21,294.33,293.6,293.0,293.64,295.02,292.4,275.62,247.7,228.27,235.92,267.24,287.59,293.24,293.94,294.31,292.81,294.13,293.72,288.12,294.22,295.53,294.77,294.55,293.26,295.02,293.36,294.81,293.93,292.55,292.88,294.62,293.98,293.91,10.63,17.75,18.33,16.93,15.77,15.47,16.06,14.89,13.69,12.07,12.0,18.36,0.1,-0.01,-0.11,-0.08,271.6785070337505,22.231492966249505,0.8736496287412013,0.8822354838235192,15.1625,21.405645192110768,21.442909175516856,21.44751465260398,21.399107708023447,21.399876927456567,21.429086805481756,21.472060513980704,21.43446323078256,21.426398086925946,21.42716632665466,21.43292724688745,21.409105404913188,21.436383055882317,21.403722609952364,21.432159213659986,21.436767000270077,21.40872096444188,21.385641889182228,21.41025868490926,21.463242576391014,21.36253788039609,20.705956281089826,19.564707454438917,18.729501826880703,19.062707868393726,20.370134678771166,21.17640973390218,21.394876506788737,21.421788069982075,21.43599910461765,21.378328321239234,21.429086805481756,21.413333794566665,21.19699877816777,21.432543233714018,21.482790509285415,21.45365375080103,21.445212037691856,21.395645878342634,21.463242576391014,21.399492321196274,21.45518825087905,21.421403857120954,21.368316224532172,21.381023084692373,21.44789839772215,21.42332485252057,21.147279233641324
17,9.0,138.65,1025.29,20.91,889.85,1.215,-1082.59,-691.52,-689.89,-556.53,-468.13,-410.34,-338.9,-299.76,-273.94,-253.64,-224.7,-214.07,-198.54,-182.91,-155.64,-134.58,-114.68,-94.85,-75.07,-57.25,-40.86,-21.41,-3.11,11.07,29.45,-1081.18,132.62,286.79,237.28,175.55,139.78,116.82,101.42,89.06,78.47,70.03,62.56,56.11,50.99,46.86,42.62,39.68,38.0,36.84,37.07,37.69,39.3,40.83,29.45,293.03,294.08,294.23,292.98,292.77,293.76,295.06,293.85,293.57,293.71,293.75,293.22,293.8,293.13,293.71,294.06,293.3,292.62,293.4,294.78,291.71,276.6,250.11,225.69,223.9,249.74,276.71,290.54,293.35,293.96,292.65,293.92,293.61,289.5,294.12,295.43,294.56,294.43,293.23,294.99,293.24,294.71,293.77,292.39,292.74,294.48,293.85,294.09,9.87,17.63,18.17,16.71,15.52,14.66,15.6,14.57,13.16,11.39,11.32,18.32,-0.9,-0.01,-0.13,-0.12,271.2031625187115,22.886837481288467,0.9462126260872601,0.9580072854936345,14.74333333333333,21.40292148308202,21.443261017688105,21.449017615101845,21.40099865623623,21.3929208962189,21.430975108508452,21.480842902385888,21.434431232240733,21.423677016326184,21.429054798911686,21.4305910603548,21.410226650192662,21.432511232305657,21.406766618629536,21.429054798911686,21.442493354598543,21.413301764450487,21.38714919973282,21.41714503637019,21.470111933736813,21.352100798394545,20.76149755006276,19.683364606937936,18.634304692836263,18.55507502889294,19.66788724677144,20.76585780747113,21.306953854994738,21.415223486626687,21.438654626830125,21.388303663630776,21.437118943251345,21.425213663374794,21.266742778867116,21.44479626142672,21.49501489403821,21.461676694272803,21.4566906758695,21.41061106362847,21.47816066285783,21.41099547016251,21.467428353432073,21.431359149779993,21.37829623867597,21.391766681502254,21.458608512359184,21.434431232240733,21.128770879503083
18,10.0,135.65,1025.28,20.92,890.04,1.215,-1251.9,-711.44,-800.92,-690.77,-459.89,-400.6,-351.83,-315.58,-282.75,-257.92,-225.73,-213.15,-195.21,-178.2,-149.42,-127.42,-107.82,-87.84,-68.35,-51.72,-37.06,-21.15,-6.98,2.51,15.94,-1249.76,77.0,280.86,244.62,186.71,148.57,125.63,109.37,96.24,84.94,75.8,67.78,60.4,54.72,49.98,45.06,41.38,39.03,36.99,36.32,35.97,36.48,36.83,15.94,287.35,288.26,288.55,287.44,287.34,288.15,289.07,288.6,287.46,287.97,288.16,287.59,288.06,287.47,287.89,288.53,287.41,286.95,288.26,288.6,280.27,259.46,235.18,215.87,216.32,239.53,263.94,280.33,286.9,288.21,286.52,288.08,287.68,285.59,288.31,289.67,288.59,288.53,287.47,289.62,287.71,289.09,287.99,286.72,287.01,288.99,287.96,288.35,9.9,17.78,18.32,16.93,15.76,13.84,14.99,14.8,13.38,11.61,11.45,18.55,-0.43,-0.02,-0.13,-0.15,265.2631828322515,23.086817167748507,0.9962752946481217,1.0116444469500143,14.775833333333333,21.18210933381999,21.217438540425544,21.22868494447735,21.185606056425485,21.181720773453563,21.213171103300127,21.248836004592548,21.23062337753247,21.186383027519156,21.206186172001587,21.21355908760332,21.191432645253105,21.209678925192136,21.18677150238095,21.20308101948377,21.22790952169289,21.184440546353894,21.166561355494476,21.217438540425544,21.23062337753247,20.90520114331,20.069187597143234,19.04744635430239,18.19393317536301,18.214278605816798,19.234492622556694,20.2520807920084,20.907563231384675,21.16461705510315,21.21549890268872,21.149834530933592,21.210455014460177,21.19492782970603,21.113612587341375,21.219378000862424,21.27206350759268,21.23023570508058,21.22790952169289,21.18677150238095,21.270128851144914,21.196092763113125,21.24961066374554,21.206962389090307,21.157616094278367,21.16889428024078,21.245737085525423,21.20579805280248,20.89610524807639
19,10.25,137.93,1025.33,20.97,889.89,1.214,-1308.75,-741.33,-846.67,-613.4,-473.6,-409.02,-356.88,-320.77,-286.0,-260.67,-228.0,-214.23,-196.02,-177.5,-148.62,-126.22,-106.23,-86.28,-66.85,-50.52,-36.04,-20.59,-7.12,1.54,13.85,-1307.02,65.08,283.91,250.9,192.58,153.7,130.38,113.6,100.21,88.57,79.11,70.82,63.11,57.29,52.28,47.2,43.31,40.71,38.44,37.54,36.97,37.29,37.24,13.85,290.87,291.78,292.1,290.83,290.72,291.64,292.74,291.87,291.23,291.5,291.72,291.01,291.62,290.85,291.49,291.86,290.9,290.23,291.27,290.94,280.47,257.41,233.71,216.02,217.5,240.32,264.46,282.02,289.58,291.56,290.16,291.52,291.47,287.84,292.09,293.27,292.4,292.2,290.99,292.92,291.06,292.52,291.58,290.25,290.53,292.49,291.78,291.88,10.24,18.34,18.88,17.43,16.22,13.93,14.96,15.1,13.74,11.93,11.78,19.01,-0.38,0.01,-0.1,-0.15,269.7772588759252,22.102741124074782,0.9885416187049816,1.0045739175924904,15.13,21.31353763048721,21.348678240185397,21.36102163918014,21.31199165887306,21.307739658572327,21.343275758393947,21.385687064077132,21.352150542373582,21.327446332157795,21.33787190876185,21.34636305827028,21.31894764828492,21.342503863644655,21.312764658697724,21.33748586713412,21.3517647589047,21.314697035612166,21.28878861262615,21.328991183583682,21.316242811017464,20.90773644283611,19.978571716763067,18.976270623794324,18.192182907656637,18.259072805141546,19.26106092287738,20.267161255851185,20.96871443777567,21.26362340701573,21.3401880118758,21.286079943028998,21.33864397106545,21.33671376292489,21.196111047984353,21.360636015927575,21.40609160555403,21.372587101399755,21.364877488890997,21.31817487265627,21.39261909082369,21.320879464816,21.37721153429226,21.34095999038861,21.289562454927076,21.300393295206494,21.376055519860028,21.348678240185397,21.081830792922737
20,10.5,138.36,1025.31,20.99,890.44,1.214,-1354.06,-760.8,-888.48,-560.95,-484.12,-415.34,-362.08,-324.07,-289.68,-262.83,-229.56,-215.3,-195.54,-178.0,-148.48,-125.95,-105.7,-85.45,-66.38,-50.03,-36.3,-21.94,-9.4,-0.94,9.83,-1351.37,51.01,283.03,253.1,194.73,156.0,132.58,115.24,101.68,89.78,80.14,71.71,63.98,57.76,52.61,47.28,43.2,40.45,37.97,36.85,36.12,36.17,36.1,9.83,290.68,291.67,291.66,290.54,290.53,291.29,292.42,291.69,290.83,291.38,291.49,290.85,291.39,290.68,291.09,291.64,290.74,290.05,290.7,289.49,275.47,251.76,229.67,212.7,213.61,235.61,260.22,279.34,288.36,291.09,289.87,291.41,290.93,288.17,291.78,292.94,292.02,291.89,290.7,292.8,290.87,292.21,291.08,290.0,290.21,292.07,291.68,291.47,9.59,17.78,18.36,16.91,15.67,13.28,14.13,14.56,13.18,11.32,11.19,18.46,-0.8,0.02,-0.09,-0.18,270.62881678235107,20.84118321764896,0.9895252751737414,1.006377153636916,14.535833333333334,21.32915209917244,21.367351292639018,21.366965783621744,21.323744670332026,21.323358372942415,21.35269705702317,21.396244672991912,21.368122289808294,21.33494425205584,21.35616870579143,21.360411065815285,21.335716420300734,21.35655440970769,21.32915209917244,21.344980260412704,21.366194744720048,21.331469149055614,21.3048078611636,21.32992447710005,21.283145161949722,20.73342877200012,19.769019022820956,18.826099459730237,18.068338453647666,18.10977721432083,19.08423047513618,20.118437070489676,20.88661500665017,21.23936565641957,21.344980260412704,21.297847253623075,21.357325796643288,21.33880481386269,21.23199563536308,21.371591432867632,21.41625453399099,21.380839729143915,21.37583073201601,21.32992447710005,21.410869103344943,21.33648856060083,21.388158460941813,21.344594347347716,21.30287458720533,21.310993159268214,21.38276595406306,21.367736794701077,21.115077211275835
21,10.75,138.52,1025.3,21.02,890.04,1.214,-1407.84,-797.3,-948.97,-549.66,-498.61,-425.91,-370.38,-331.05,-294.79,-266.97,-233.51,-217.63,-197.77,-179.23,-149.4,-126.85,-105.78,-85.61,-66.39,-50.36,-37.22,-24.18,-12.06,-4.72,5.87,-1406.23,35.28,283.38,256.96,198.52,158.79,135.3,117.52,103.6,91.37,81.45,72.74,64.55,58.31,52.89,47.38,43.06,40.07,37.39,36.08,35.09,34.81,34.6,5.87,292.22,293.12,293.34,291.96,291.96,292.85,294.06,293.08,292.48,292.83,292.96,292.42,292.92,292.2,292.73,292.94,292.22,291.52,292.13,291.35,279.04,256.66,234.15,213.56,210.24,229.39,254.13,275.71,288.2,292.36,291.5,293.0,292.35,289.76,293.07,294.28,293.43,293.31,292.08,294.08,292.11,293.56,292.49,291.08,291.47,293.3,293.02,292.75,8.83,17.13,17.7,16.27,15.06,12.34,13.44,13.83,12.5,10.61,10.47,17.81,-1.71,0.02,-0.1,-0.18,270.9456932795209,21.804306720479076,1.0046647348115445,1.0226111538429457,13.832499999999998,21.415613482310594,21.450202857686786,21.458649558084314,21.40561059032528,21.40561059032528,21.439831904477636,21.486270088277887,21.448666736596817,21.42561170428515,21.4390634861483,21.444057713097024,21.423304836446718,21.442521151774955,21.414844194963536,21.43522098130314,21.443289446199156,21.415613482310594,21.388671962118877,21.412151471594445,21.38212389837062,20.902515554531078,20.001132587371014,19.05154285112461,18.139469739720088,17.98807494418715,18.84461301985807,19.896664676243596,20.770872870495992,21.2604272314223,21.42099772017732,21.38790170573005,21.445594164325584,21.42061317664044,21.320782878146563,21.448282689134224,21.49470261546279,21.4621040682849,21.457497931094682,21.410227890417342,21.48703681840716,21.41138205986116,21.467092934941846,21.42599615811084,21.371719908833132,21.386746269131983,21.457114041696116,21.44636234866219,21.12743530817271
22,11.0,138.25,1025.29,21.04,890.24,1.214,-1269.29,-905.58,-1012.8,-559.02,-505.07,-428.67,-371.85,-331.0,-294.95,-266.89,-232.32,-216.66,-195.76,-177.56,-146.41,-123.4,-102.73,-82.3,-63.82,-49.06,-36.79,-24.87,-13.36,-7.16,2.2,-1267.33,11.83,280.94,258.73,201.01,161.14,137.51,119.74,105.58,93.3,83.17,74.3,66.0,59.58,53.99,48.31,43.84,40.69,37.8,36.29,35.03,34.5,33.86,2.2,291.22,292.13,292.35,291.12,291.04,292.0,293.05,292.14,291.44,291.88,292.01,291.38,291.96,291.19,291.73,292.09,291.18,290.56,290.85,288.3,273.83,250.48,227.98,210.31,210.12,230.33,253.89,274.33,286.28,291.02,290.51,291.87,291.47,287.09,292.11,293.31,292.36,292.28,291.06,293.01,291.32,292.6,291.53,290.26,290.73,292.44,291.92,291.81,9.14,17.4,17.97,16.53,15.21,12.3,13.12,13.83,12.8,10.87,10.73,18.06,-1.26,0.02,-0.12,-0.16,270.41096977228744,21.399030227712558,1.0157343938220977,1.0347455846267855,13.996666666666668,21.370788440584338,21.405835065443817,21.414299266372037,21.36693365755634,21.36384933034716,21.40083191862983,21.44120858511327,21.40621987445621,21.37926651672061,21.39621259088829,21.40121681760234,21.376954647598698,21.399292253509827,21.36963207868758,21.390437028396313,21.40429576021282,21.369246610816525,21.345334007926407,21.35652226798073,21.25794098483863,20.689647282343046,19.73812630098652,18.775678005571947,17.98376227757231,17.97505746386405,18.878495272271966,19.87992510789319,20.709544367193597,21.1795234382113,21.36307817896604,21.34340440480478,21.39582760189254,21.380422357538,21.21100291595647,21.40506542666535,21.451194877428446,21.41468392328782,21.41160647447273,21.36462045389374,21.43967181959685,21.374642528426342,21.42391361736318,21.38273385173631,21.333753771255132,21.351893354168805,21.417760929914245,21.397752477603955,21.106577040179374
23,11.25,137.98,1025.27,21.11,889.98,1.214,-1320.98,-953.56,-1084.15,-591.36,-514.87,-431.46,-373.05,-331.98,-294.99,-265.73,-230.5,-214.77,-193.54,-174.48,-143.95,-121.42,-99.59,-79.07,-61.61,-47.42,-36.03,-25.92,-15.32,-10.76,-1.62,-1319.17,-7.59,278.86,260.52,203.66,163.62,139.74,121.82,107.56,95.01,84.72,75.73,67.42,60.67,54.94,49.1,44.45,41.11,37.99,36.26,34.78,33.96,33.03,-1.62,290.25,291.22,291.44,289.96,290.12,290.96,292.05,291.3,290.67,290.81,291.06,290.59,290.88,290.39,290.77,291.12,290.52,289.52,289.23,284.39,266.34,242.07,220.84,206.13,207.7,229.86,254.06,274.01,285.81,290.13,289.57,291.16,290.67,286.98,290.72,292.46,291.42,291.33,290.18,292.25,290.41,291.73,290.86,289.51,289.7,291.51,291.15,291.04,9.46,17.7,18.33,16.91,15.44,12.35,12.94,14.0,13.21,11.25,11.06,18.41,-0.79,0.01,-0.14,-0.14,269.8762736663269,21.16372633367314,1.028461414159623,1.0486101644355752,14.254999999999997,21.323390564658848,21.360828828424058,21.369310855944562,21.31218491145769,21.31836806918961,21.350800269735906,21.392811615058086,21.363913591705792,21.339609009664112,21.345012419519843,21.35465796504252,21.33652073250694,21.347713611567766,21.328798083274652,21.34346872771942,21.35697224775631,21.333818123267086,21.295171970628672,21.283951460803326,21.09580405979255,20.378825784682448,19.372997053296068,18.448244537730087,17.779307892233977,17.851898500324772,18.84668919399264,19.876264685758226,20.686528338395075,21.15117781352863,21.318754457003887,21.29710594380252,21.358514963586607,21.339609009664112,21.1966939699415,21.341538955947794,21.408592710524903,21.36853990165988,21.365070263109626,21.320686291039568,21.400511164197972,21.32957047402175,21.380486569084606,21.346941877289026,21.2947851549169,21.302133452334942,21.372008976931706,21.358129295075752,21.085699209349478
24,11.5,137.33,1025.16,21.14,890.18,1.214,-1377.86,-989.97,-1094.2,-630.1,-526.01,-437.65,-376.16,-334.36,-296.84,-265.93,-230.46,-212.98,-190.8,-170.85,-141.34,-120.15,-96.1,-75.99,-59.49,-46.56,-36.22,-27.85,-17.95,-14.76,-5.43,-1376.55,-19.73,278.97,263.75,207.12,167.07,142.42,124.57,110.03,97.22,86.69,77.45,68.9,62.03,56.08,50.03,45.21,41.61,38.26,36.29,34.56,33.4,32.27,-5.43,291.61,292.55,292.79,291.52,291.36,292.37,293.39,292.52,292.04,292.26,292.35,291.89,292.42,291.62,291.72,292.46,291.59,290.51,290.0,285.12,266.88,241.85,221.17,206.62,207.28,227.93,251.98,272.76,285.84,290.96,290.86,292.28,292.14,287.83,292.2,293.96,293.13,293.05,291.77,293.73,291.87,293.3,292.15,290.9,291.13,292.99,292.54,292.45,9.66,18.02,18.65,17.26,15.77,12.18,12.93,14.1,13.48,11.54,11.31,18.69,-0.53,0.0,-0.19,-0.22,268.58915468669085,23.86084531330914,1.044856476006498,1.0662620006205406,14.46583333333333,21.367736794701077,21.40394298717255,21.41317731090019,21.364267025723187,21.358097155718827,21.397014629048016,21.43624571660916,21.40278841656837,21.384306809072815,21.392779527806006,21.396244672991916,21.378528030148836,21.398939397984055,21.368122289808298,21.371976858447166,21.400479088490375,21.366965783621744,21.325289789914535,21.30558112162769,21.116066115999597,20.392126539954745,19.35466972020019,18.453564621145652,17.79223710675648,17.822766786481715,18.75288738522182,19.78109887234463,20.628276951662944,21.144134166832636,21.342664677352936,21.338804813862694,21.393549608573036,21.388158460941817,21.221518044579646,21.39046911916231,21.45813773149709,21.426252456828916,21.42317666983886,21.37390388209184,21.449306800420413,21.37775740826665,21.432787038591727,21.388543587980386,21.34034884303556,21.349224843721775,21.420869539765388,21.403558137224593,21.035357176505183
25,11.75,136.98,1025.24,21.15,890.02,1.214,-1413.77,-1014.46,-1000.96,-639.69,-526.9,-436.73,-375.83,-333.02,-294.44,-262.41,-225.68,-208.55,-185.4,-164.99,-133.93,-112.73,-89.8,-70.7,-55.93,-44.99,-37.19,-31.11,-22.54,-20.04,-12.09,-1411.33,-33.96,276.11,264.49,208.36,168.56,143.86,125.67,111.03,98.09,87.39,78.02,69.33,62.27,56.18,49.89,44.88,41.0,37.42,35.15,33.1,31.49,29.81,-12.09,290.54,291.52,291.62,290.47,290.46,291.22,292.2,291.47,290.77,291.27,291.31,290.84,291.17,290.5,290.47,291.41,290.46,289.59,288.96,284.04,266.79,242.1,221.21,205.58,204.49,223.33,246.18,267.89,282.52,289.11,289.44,291.17,291.03,286.85,291.19,293.06,292.12,291.91,290.75,292.68,291.03,292.44,291.21,289.89,290.21,292.08,291.44,291.64,9.9,18.23,18.88,17.53,16.01,12.23,12.95,14.29,13.74,11.83,11.6,18.92,-0.64,0.05,-0.19,-0.28,267.8961563988229,23.743843601177105,1.0349503659049817,1.0571014268402923,14.675833333333335,21.318335869888973,21.35616870579143,21.360025431539732,21.31563095499018,21.315244510555246,21.34459434734772,21.3823807229611,21.35424008171037,21.32722103197537,21.346523842905373,21.348067313788555,21.32992447710005,21.342664677352936,21.316790246260698,21.31563095499018,21.351925502863818,21.315244510555246,21.281596982517645,21.25719828335264,21.065683997545847,20.38000468312335,19.35637202154251,18.445974664650826,17.734271713001203,17.683570808842468,18.540403658493503,19.529227311518326,20.424416319393774,21.00616394462145,21.26301003683319,21.27579030629898,21.342664677352936,21.337260672959168,21.175277255124932,21.343436566286332,21.4154852696718,21.37929862425377,21.371206000337025,21.326448556137347,21.400863993808606,21.337260672959168,21.391624354676203,21.344208427305244,21.293205584498104,21.305581121627686,21.37775740826665,21.353082823648343,21.008202540160514
26,12.0,138.99,1025.26,21.17,889.91,1.214,-1479.19,-1044.27,-1057.47,-649.78,-535.65,-441.96,-378.62,-334.82,-296.24,-261.59,-222.6,-203.53,-178.1,-157.49,-125.12,-104.16,-81.85,-64.19,-52.6,-45.58,-41.38,-38.18,-32.75,-30.74,-21.2,-1477.19,-42.34,278.36,268.56,212.41,171.65,146.57,127.94,112.91,99.62,88.6,78.97,69.72,62.56,56.14,49.55,44.18,40.07,36.11,33.45,30.98,28.83,26.41,-21.2,293.33,294.21,294.44,293.14,293.13,293.94,295.2,294.13,294.03,293.76,294.02,293.34,293.97,293.35,293.28,294.04,293.26,292.04,290.43,283.51,264.35,239.35,218.55,205.25,206.18,225.9,249.37,270.38,285.25,292.15,292.46,294.26,293.84,288.86,293.66,295.52,294.75,294.62,293.27,295.14,293.41,294.74,293.85,292.42,292.78,294.68,294.08,294.19,9.52,17.87,18.54,17.15,15.35,11.19,11.53,13.31,13.42,11.44,11.18,18.53,-1.2,0.0,-0.12,-0.12,271.8765736382217,22.313426361778284,1.0245635568960967,1.0474529162341857,14.085833333333333,21.448538721540015,21.482308213328306,21.49112558377924,21.441240599890282,21.44085641941113,21.47195276701156,21.520235550891236,21.479240453419052,21.475405137272602,21.465046360684553,21.475021567984854,21.448922764418295,21.47310361877191,21.449306800420413,21.44661840399325,21.4757886997096,21.44585022882847,21.398939397984055,21.336874620272532,21.068030023519963,20.30509332499725,19.264232491513773,18.353303984866066,17.746344109974654,17.789459083276334,18.68027030390963,19.688018361332254,20.548258249266002,21.135951502329895,21.403173280356654,21.41510062714976,21.484225340824654,21.468116148907345,21.276177467350323,21.461208507922805,21.532480605643183,21.50300414499675,21.49802361195579,21.446234319850234,21.517938827368283,21.45161087205436,21.50262106802721,21.468499841571518,21.413561987969924,21.42740576312277,21.50032246287688,21.47732288095735,21.163697650712578
27,12.25,138.61,1025.24,21.18,889.79,1.213,-1512.66,-1055.71,-1063.24,-646.5,-531.86,-438.35,-374.13,-327.92,-289.14,-252.79,-212.42,-191.45,-163.36,-141.22,-108.21,-88.19,-69.28,-57.74,-51.43,-48.93,-48.16,-45.93,-41.61,-40.34,-28.5,-1510.34,-48.2,277.17,269.76,214.06,173.88,148.02,129.33,114.23,100.75,89.55,79.71,70.47,62.92,56.28,49.45,43.8,39.36,35.1,32.07,29.18,26.52,23.52,-28.5,293.48,294.45,294.58,293.33,293.34,294.07,295.24,294.22,294.1,293.87,294.15,293.49,294.11,293.42,293.27,294.25,293.37,292.3,290.54,284.49,265.72,240.7,220.36,205.47,204.45,221.54,243.51,266.23,282.28,290.89,292.13,294.3,294.37,288.85,294.19,296.07,295.2,295.08,293.79,295.77,293.73,295.25,294.47,292.88,293.21,295.2,294.56,294.63,10.18,18.49,19.22,17.81,16.01,11.44,11.77,13.71,14.08,12.09,11.87,19.16,-0.46,0.0,-0.12,-0.19,271.1239405377705,23.506059462229473,1.010607190969655,1.0341537270828276,14.652500000000002,21.44136351190833,21.478626811971644,21.483615950954626,21.435595362790743,21.435979954353904,21.46403652563094,21.508927573803,21.469797033649787,21.465188750908265,21.456353442518804,21.467108988938204,21.441748000010644,21.465572812256497,21.439056438490823,21.433287668491197,21.470948949792987,21.437133687644952,21.395945405663745,21.328023435771875,21.09287357725552,20.346037773765897,19.305651027169542,18.416608691073716,17.737552676121073,17.690081803914413,18.46935475667145,19.425274838612893,20.366692010387982,21.006319466848094,21.341547865435224,21.38939417134839,21.47286867270997,21.475555996495526,21.262598709346204,21.46864505569966,21.540716636336057,21.507394384035386,21.50279415881663,21.45327943884003,21.52923203047264,21.450973646992278,21.509310854168938,21.479394447243628,21.418281594931983,21.43097972569844,21.507394384035386,21.48284846652741,21.143093549521307
28,12.5,137.44,1025.23,21.22,890.13,1.213,-1455.26,-1058.94,-1090.67,-632.4,-520.55,-427.45,-362.15,-314.39,-275.29,-237.21,-198.57,-172.42,-143.49,-120.71,-89.09,-76.05,-63.39,-57.14,-54.18,-53.59,-54.3,-52.58,-49.09,-47.85,-35.99,-1452.06,-52.03,273.3,267.32,212.88,172.98,147.48,128.8,113.72,100.23,88.95,79.05,69.71,62.05,55.25,48.24,42.37,37.65,33.21,29.81,26.53,23.41,19.82,-35.99,290.48,291.23,291.3,290.29,290.27,290.98,291.99,291.25,290.7,290.97,291.12,290.47,290.94,290.25,290.01,291.08,289.99,288.39,286.17,276.75,258.13,233.26,213.03,200.74,202.53,220.67,241.79,263.58,278.88,287.48,288.46,290.81,290.58,285.39,290.66,292.48,291.64,291.63,290.26,292.41,290.53,291.89,290.86,289.44,289.85,292.03,291.03,291.1,10.06,18.29,19.02,17.66,15.73,11.2,11.08,13.68,13.78,11.89,11.74,18.98,-0.35,0.07,-0.14,-0.21,268.8069636582246,22.293036341775405,0.9894741319766474,1.0134980833278109,14.425833333333332,21.33446470962598,21.363426408438468,21.366127497324634,21.327121502188533,21.326348385899994,21.35377687329815,21.392734266975374,21.364198182967204,21.342964214512005,21.353390801192123,21.359181150056624,21.334078288037425,21.352232542990365,21.325575241583667,21.316295322509713,21.35763721052186,21.315521813554472,21.253549886959394,21.167263322132655,20.797146368183103,20.045462207131923,18.995125276801833,18.09584114890787,17.526997978771,17.61099140910731,18.440616425644116,19.361794536185055,20.268363038447696,20.881409217126667,21.218222606908373,21.256264938145588,21.347212697909107,21.3383285406318,21.136862798142797,21.3414191017672,21.41160885313344,21.3792422176651,21.378856605427412,21.325961817245492,21.40891350247407,21.33639671259205,21.388880264187673,21.349143547238718,21.294239306557945,21.31010646472197,21.39427567369572,21.355707129136125,21.05255715271036
