,Alpha,Delta_Pb,P_bar,T,rpm,rho,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
11,3.0,139.0,1025.33,20.71,889.72,1.215,0.7793777894582581,-0.12361326744227291,-0.4011454650380454,-0.6196478220373145,-0.7076960702541552,-0.6966256764725056,-0.6677543837196986,-0.6503948293511319,-0.6184709030970726,-0.5930935884481086,-0.5380726279918039,-0.5299445315607588,-0.5005215580547135,-0.48283099523420375,-0.4236540397701701,-0.39364260679400387,-0.37514291220207785,-0.36477131404119695,-0.35980618726205177,-0.15487517679244606,-0.05689667501731515,-0.013792018830958746,0.03284339417612309,0.0795891433338526,0.1442461276133872,0.8025116023773862,0.9667285732580018,0.5376680621060957,0.2778999847645981,0.1484756800548812,0.09191001348950907,0.05902984059650343,0.040235916269516975,0.02828283328268607,0.018941039194516677,0.01331389551148551,0.008974006919343823,0.0036778716882556657,0.004744454477849809,0.006951177490803207,0.0085694410336357,0.014123027282901756,0.024347510576252507,0.036447708430613644,0.0525200077082909,0.06943821747426696,0.08837925666878364,0.1051135728503469,0.1442461276133872
12,4.0,137.65,1025.28,20.73,889.97,1.215,0.38113414803550627,-0.4485875748781609,-0.699903591407567,-0.8370390825436248,-0.8657885056582805,-0.8170184894444008,-0.7657226841196728,-0.7325902740185449,-0.6885003964512372,-0.6542908115822477,-0.5915918113011899,-0.5737998556527142,-0.5451618644105961,-0.5274813406346579,-0.4661938107390741,-0.44223595814352773,-0.42982987633436104,-0.4203581671686799,-0.22839819474420897,-0.11726347386688367,-0.0842053516807809,-0.03350384967625247,0.024032140510571343,0.0756993854104241,0.15006158835039912,0.40290050713781667,1.0386193399638268,0.7016865013681658,0.40899211616986253,0.24808449222582074,0.17635951026923144,0.12625231158490263,0.10184873149920654,0.08320246482794406,0.06775057850275445,0.05694168686662422,0.04810142497865516,0.04044976973108531,0.0371811014699875,0.0361410706596382,0.03446959257157683,0.03684680585237523,0.044127021524820335,0.05363587464801394,0.06693341143748001,0.08167956256993258,0.09913722260079585,0.11555485182130981,0.15006158835039912
13,5.0,137.62,1025.28,20.75,889.85,1.215,-0.1975751619329156,-0.831650996590507,-1.0286317240384797,-1.068941812548674,-1.0353934163047058,-0.9546246306630813,-0.8754162355444323,-0.8299791496016049,-0.7672291592848139,-0.7224236599822385,-0.6542123028350341,-0.6381625717415742,-0.6009361121220215,-0.5838089685246024,-0.5299011911713379,-0.5049349428037337,-0.4898140155929973,-0.29565685194850366,-0.1991355524558909,-0.15756229066519276,-0.1160261810298036,-0.05134427863694799,0.011777233232932352,0.06832281361313122,0.14790273028486972,-0.18720971060172278,1.0479508447991257,0.8338058215984252,0.5252200196024123,0.33492668011004784,0.2505912875587657,0.19281968605337196,0.15930844196471272,0.1341192806652549,0.11346268231348708,0.09849036372398634,0.08533850074462339,0.07348696320107317,0.06746831404102571,0.06315866402518927,0.05881186185404389,0.05836603599033668,0.0628614467827178,0.06969744335956181,0.08069448133100653,0.09317760551480864,0.10855859781270767,0.12397674226591564,0.14790273028486972
14,6.0,141.2,1025.29,20.81,889.78,1.215,-0.9450333360382163,-1.21883852827758,-1.3488996144378171,-1.2821858427168826,-1.1757985529242478,-1.0573571741554486,-0.9616846301194045,-0.8955862323101662,-0.8225377291453015,-0.7704843359088916,-0.6997887329946296,-0.6829202481210782,-0.649545263027914,-0.6318804119156971,-0.5725149286697219,-0.46218200614915333,-0.3431976503994457,-0.2820222438837761,-0.23141678926312165,-0.18139051008876936,-0.1301696815564188,-0.06189937582354732,0.004959189758962563,0.06327491750851504,0.1416083966208872,-0.9340652010238685,0.9818109768784059,0.9176310977350436,0.6225412078440741,0.41555838272182644,0.31394929036118474,0.25353405161878684,0.21451210592417624,0.184394982716462,0.15927324773310422,0.13979847335119283,0.12311098080461078,0.10888498390481305,0.09921999364464515,0.09234228521980656,0.08495779827945353,0.08180853179018535,0.08379944738684914,0.08778127858017676,0.0958897348284075,0.1058805112771204,0.11891195881891985,0.1319072078953254,0.1416083966208872
15,7.0,139.77,1025.29,20.83,889.93,1.215,-1.8674821544057036,-1.6719233702141032,-1.734793306631788,-1.537881301004787,-1.3579028500964523,-1.201185178456092,-1.0823942805592681,-1.0018227448244459,-0.9173012654403448,-0.8648182178781706,-0.7781023253555814,-0.752061956112189,-0.6877290776021787,-0.6069381005535075,-0.511481129029274,-0.44619733815925233,-0.38778937512316003,-0.32488286515316706,-0.2583555735046687,-0.20097166993320423,-0.14238083913557126,-0.07062352950700952,0.0004023090753894898,0.058554257245324835,0.1381017335155194,-1.853840219394769,0.8893956450292375,0.9989700077444112,0.7272650876472732,0.5035812417307168,0.38793566933239254,0.3225055842531383,0.2737164654740856,0.23754522224133967,0.20682343830250588,0.18327007061606668,0.16300832263735965,0.14453867872175125,0.13235968580314214,0.12219223826148048,0.11242709979520832,0.10668505208283108,0.10591700748436023,0.10719708181514497,0.11286598242290595,0.12043670775068999,0.1315916412046713,0.14274657465865262,0.1381017335155194
16,8.0,138.89,1025.29,20.87,889.86,1.215,-2.8906592890781706,-2.125674225411793,-2.1254533761416208,-1.7849038015353882,-1.5296020452158003,-1.3405182617363132,-1.1965981540071338,-1.105902720389564,-0.9995269885897358,-0.8874827921888094,-0.7704326789973028,-0.7346919054410284,-0.6853689017691357,-0.6401316095954371,-0.5494361759778673,-0.4754148622583328,-0.4063258489059876,-0.338451506539592,-0.26708038406212936,-0.20527939662548172,-0.14509797050343357,-0.07192324565289426,-0.0020612598549447692,0.055101892908077134,0.1293072476860888,-2.8816780854244826,0.7224347709464461,1.0467151159832928,0.8130933963523205,0.5815697447879884,0.4561641675416165,0.38265816878581815,0.32921264540403594,0.2880610647285315,0.2529460307710795,0.22559752948136588,0.20222431505476002,0.1806915112129263,0.16508482945405872,0.1522755717840448,0.13935588947894456,0.13081638436560195,0.12761406994809849,0.12592089221010813,0.1293808641094797,0.13438678090005984,0.14311032707187968,0.15098728437470435,0.1293072476860888
17,9.0,138.65,1025.29,20.91,889.85,1.215,-3.9918044831992225,-2.5498227733693515,-2.543812518972383,-2.052077840211773,-1.7261229391736965,-1.5130354535290083,-1.2496166964004993,-1.1052968454205183,-1.0100914659544196,-0.9352398314400195,-0.8285301613490474,-0.7893344532264824,-0.7320711091866483,-0.6744390378831966,-0.5738871130946406,-0.496233151376746,-0.422856425916817,-0.34973780954142036,-0.27680355679783264,-0.2110963584211525,-0.15066195991420597,-0.07894450714055677,-0.011467417898511516,0.040818108082483116,0.10859017913542256,-3.986605428782213,0.4890060970098384,1.0574729193292984,0.8749160511121584,0.6473007112809315,0.515406969084868,0.4307471893582364,0.37396319076110546,0.3283885009779536,0.2893402837608356,0.25821970271149886,0.2306757761192542,0.20689286761591036,0.1880140317186824,0.17278559573126998,0.15715155975387807,0.1463109782035167,0.14011636017473877,0.13583912391677308,0.13668719662309387,0.1389733056575238,0.14490981460176933,0.15055134173512064,0.10859017913542256
18,10.0,135.65,1025.28,20.92,890.04,1.215,-4.719463842035263,-2.682015620878319,-3.0193409859915987,-2.604093009156241,-1.733712138600205,-1.5101982707239605,-1.3263431292781103,-1.1896863960935282,-1.0659225188397399,-0.9723173689094456,-0.8509661898415366,-0.8035415911253424,-0.7359106451024072,-0.6717856511308281,-0.5632896295845585,-0.4803531294449502,-0.4064642475023899,-0.33114282601196376,-0.2576686265701016,-0.19497617214638852,-0.1397103043260858,-0.07973213536148717,-0.02631348958974849,0.009462300697746232,0.06009126419206173,-4.711396382476228,0.29027775048862947,1.0587975195095645,0.9221784847341369,0.7038669973211948,0.5600852648064374,0.4736051142063184,0.41230750092131696,0.3628094897016324,0.3202102873571972,0.28575394139010535,0.25551981724830264,0.22769839129237945,0.20628569489269874,0.18841664895352855,0.16986903164957978,0.15599601708077257,0.1471368909294962,0.13944641546200526,0.13692062204866262,0.13560117772825975,0.13752379659513247,0.13884324091553535,0.06009126419206173
19,10.25,137.93,1025.33,20.97,889.89,1.214,-4.851224322810377,-2.7479336215694494,-3.1384038948568187,-2.2737276023777535,-1.75552232227927,-1.516139654262388,-1.3228691012986187,-1.1890179377481447,-1.0601338348223632,-0.9662415619690399,-0.8451416585297161,-0.7940995504685134,-0.7265994206359427,-0.6579501946887044,-0.5508989179416071,-0.4678674567527226,-0.3937692911649638,-0.3198193960436136,-0.24779701698557682,-0.18726559907421605,-0.13359169023425863,-0.07632222258388971,-0.02639214302075254,0.005708412956735802,0.051338648994020034,-4.8448116251382,0.24123604884699087,1.0523867029525076,0.9300265005487095,0.7138481605247927,0.5697292671755146,0.4832875852592297,0.4210881246007708,0.37145458597045106,0.32830788024551294,0.2932419149398502,0.2625128607766425,0.2339337283763613,0.21236037551389225,0.19378949959619982,0.17495915036229212,0.16053984750404388,0.15090226718747693,0.14248791821878196,0.1391518327245857,0.13703897857826142,0.1382251423095312,0.1380398042265203,0.051338648994020034
20,10.5,138.36,1025.31,20.99,890.44,1.214,-5.003384399707076,-2.811230559426572,-3.2830206722388544,-2.072765223856908,-1.7888708444132386,-1.5347220038804315,-1.337921084328566,-1.197470409297278,-1.0703959890308745,-0.9711826076946449,-0.8482466971897527,-0.7955545996905112,-0.7225394631838483,-0.6577274442401811,-0.5486481512403488,-0.4653975932699484,-0.3905718587426244,-0.31574612421530046,-0.24528060532956864,-0.1848657530075071,-0.13413205744898074,-0.08107045014960435,-0.034733921212683726,-0.003473392121268372,0.036322813353263934,-4.993444586083447,0.18848694904882943,1.0458235873219013,0.935229304141516,0.7195464338027554,0.5764352882104958,0.4898960930188945,0.42582309367549703,0.3757175647772001,0.33174589856114306,0.2961251538281355,0.2649754776767606,0.23641237012633026,0.21342886055793742,0.19439910585098835,0.17470423350379644,0.15962823365829115,0.1494667141545805,0.14030287111123413,0.1361643613497229,0.13346693980873786,0.13365169470880534,0.1333930378487109,0.036322813353263934
21,10.75,138.52,1025.3,21.02,890.04,1.214,-5.196022800582414,-2.942656110711699,-3.5024361838480886,-2.028672215996228,-1.8402580752062716,-1.57193862299413,-1.3669898034433703,-1.221831563340158,-1.088004007119907,-0.9853266046365263,-0.8618332226417771,-0.8032236916771442,-0.7299248702062621,-0.6614978737274022,-0.5514020104607148,-0.46817500018033237,-0.39041033913342976,-0.31596737694472415,-0.24503065243967104,-0.18586750499867197,-0.13737070166899465,-0.08924297599022812,-0.04451076469984083,-0.01742046512298911,0.021664858108463157,-5.19008065040275,0.13021059524132542,1.0458922471509862,0.9483819317803563,0.732692952588093,0.5860584018812375,0.4993620616822939,0.43374005535035604,0.3823644463435746,0.33722624963718545,0.30061374666683544,0.26846708327250596,0.23823962366291254,0.2152091782460795,0.19520516956671488,0.17486899100153055,0.15892483648218458,0.14788941471995207,0.137998133675543,0.13316321644861168,0.12950934770459493,0.1284759302820447,0.12770086721513207,0.021664858108463157
22,11.0,138.25,1025.29,21.04,890.24,1.214,-4.693929395944501,-3.3489026009654386,-3.7454101838134632,-2.0672977892529643,-1.8677866523880982,-1.585253735678631,-1.3751291240630297,-1.2240627674192894,-1.090747169940542,-0.9869791903218554,-0.8591367435856475,-0.8012248918098588,-0.7239351279456196,-0.6566301661116889,-0.5414351352805382,-0.45634243353335446,-0.37990322687910455,-0.3043515581831043,-0.23601113539788235,-0.18142755096552973,-0.13605217285001708,-0.09197112092361852,-0.04940627967589639,-0.02647821575444747,0.00813576461728833,-4.686681169285462,0.04374822519205497,1.0389371416277196,0.9568028997413679,0.7433500207823304,0.5959077774681096,0.5085222693287809,0.44280747967004747,0.390442740133319,0.34503038126954594,0.30756888328175924,0.2747669595747831,0.24407293851864986,0.2203312981354721,0.1996590598579077,0.17865399484599961,0.16212360037360016,0.15047466467157367,0.13978722842431765,0.13420313543699702,0.12954356115618643,0.12758358149838517,0.12521681360971945,0.00813576461728833
23,11.25,137.98,1025.27,21.11,889.98,1.214,-4.8947615218418585,-3.5333228336292164,-4.0172112400678675,-2.191226342228044,-1.9078001671113247,-1.5987326123135006,-1.3823000997161996,-1.2301192523891809,-1.0930564439492876,-0.9846363905577958,-0.8540950890888191,-0.7958091205362503,-0.7171434426995664,-0.646518486525888,-0.5333925729906096,-0.4499098729594986,-0.3690209541100022,-0.29298611147181314,-0.22828979799896812,-0.17571014804595145,-0.1335056228193933,-0.09604401175350193,-0.0567667538604803,-0.03987012216310496,-0.00600275073459387,-4.88805474478654,-0.028123998812078686,1.0332883147215104,0.9653312477632068,0.754642107782338,0.6062778241939809,0.5177928318840417,0.4513920336347069,0.3985530055635288,0.3520502143788664,0.3139216310091313,0.28061006983382336,0.24981818180636958,0.22480672041222846,0.20357476873986866,0.18193522288182656,0.16470510503252936,0.1523290633945395,0.1407682101279143,0.1343578652076381,0.12887387070936718,0.12583544132519003,0.12238941775533058,-0.00600275073459387
24,11.5,137.33,1025.16,21.14,890.18,1.214,-5.129991200155766,-3.6858152413294563,-4.073880054004355,-2.3459621842699176,-1.9584186137880006,-1.6294403268461026,-1.4005033093714843,-1.2448752831812246,-1.1051823754621206,-0.9900995455687973,-0.8580391128183545,-0.7929583018660641,-0.7103786458636728,-0.6361016333637762,-0.52623122540027,-0.4473374963339638,-0.35779553389674507,-0.28292281603344077,-0.22149070043202254,-0.17335026075163842,-0.1348528016414163,-0.10368996481815142,-0.06683069545730046,-0.0549538197743596,-0.02021675077064855,-5.125113862492866,-0.07345791762521103,1.0386495326865242,0.9819830599923675,0.7711405929312575,0.6220280941532694,0.5302522366032719,0.4637938569981013,0.40965913209842725,0.36196547144059893,0.3227606122113302,0.28835862747453594,0.25652562211743746,0.23094752307611963,0.20879472987439607,0.18626962082054274,0.168323996747886,0.15492062607121293,0.14244804502486436,0.13511342273790716,0.1286723584960615,0.12435349461135572,0.12014632548228892,-0.02021675077064855
25,11.75,136.98,1025.24,21.15,890.02,1.214,-5.277306024112155,-3.7867657887922483,-3.7363731285112167,-2.387828211494306,-1.9668068668204124,-1.6302212240396257,-1.402894334327416,-1.243093609391789,-1.099082584677552,-0.9795213321737416,-0.842415968312831,-0.7784732816006776,-0.6920592011928345,-0.6158729644272155,-0.4999325178843383,-0.4207973772948664,-0.3352045106101215,-0.2639082282865879,-0.20877492514948884,-0.167938206373601,-0.13882244710011601,-0.11612708602539956,-0.08413707872107058,-0.07480510459495363,-0.04512942687390166,-5.268198017365065,-0.1267655365291729,1.0306605503848625,0.9872855346466709,0.7777640515670927,0.6291990234793106,0.5369991191132749,0.4690996753716478,0.4144516348891068,0.3661493368123254,0.3262084875525448,0.29123224852785834,0.2587943064654758,0.23244081153332147,0.20970812256210053,0.18622887566079024,0.16752759951205184,0.1530443756683183,0.1396809887197188,0.13120755621320457,0.12355533742978868,0.11754554609256934,0.11127445947981873,-0.04512942687390166
26,12.0,138.99,1025.26,21.17,889.91,1.214,-5.4406673594773025,-3.8409708715454824,-3.8895223146630675,-2.389981568859417,-1.970195492873814,-1.6255905909278647,-1.39261722675606,-1.2315147109568008,-1.0896120840267687,-0.9621645458431083,-0.818753881664727,-0.7486117589183373,-0.6550766681243839,-0.5792702103476094,-0.46020883052062284,-0.38311502387330615,-0.3010557287253275,-0.2360997828574071,-0.19347014454431555,-0.16764960434087264,-0.1522014178943684,-0.14043137107798417,-0.12045907288643219,-0.11306601222989085,-0.07797656015854541,-5.433311080217062,-0.15573243193928366,1.0238469474402219,0.9878011790650453,0.7812736388338034,0.6313526675101095,0.5391049255866982,0.47058118427756135,0.41529874563685676,0.3664162699525611,0.3258831712286379,0.2904626865905817,0.25643989501197106,0.23010441526031142,0.20649075883494056,0.1822518186724493,0.16250020885870456,0.14738305497891108,0.13281762204363562,0.12303377062751625,0.11394876574111969,0.10604076553636153,0.09713966763147097,-0.07797656015854541
27,12.25,138.61,1025.24,21.18,889.79,1.213,-5.579219588648868,-3.8938280326924066,-3.9216013085789414,-2.3845183081865673,-1.9616858583017907,-1.6167882450016733,-1.3799224047050895,-1.2094837488330072,-1.0664495338423263,-0.932378009476384,-0.7834793179040844,-0.7061346173276385,-0.602528864385704,-0.5208687942491987,-0.39911635905470755,-0.32527559102702763,-0.25552889155632696,-0.212965331963948,-0.1896918431400389,-0.18047096801170723,-0.1776309384721811,-0.16940591785770925,-0.15347224563595213,-0.14878804107075966,-0.10511797646298092,-5.570662616529775,-0.1777784724742344,1.0222999837278746,0.9949693098474993,0.7895282119882701,0.6413303069257236,0.545949574598261,0.4770143121388535,0.4213202263637302,0.3716012676717659,0.33029174709684006,0.2939983825917266,0.2599180281174128,0.2320709852298512,0.20758034088900232,0.18238891003840024,0.16154973224837066,0.14517345802045364,0.1294610868017765,0.11828538614623853,0.10762605449788713,0.09781504336134224,0.08674999320734425,-0.10511797646298092
