xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =   6.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.0230    0.864     0.826    -0.370    -0.418
 0.0272    0.818     0.778    -0.428    -0.473
 0.0323    0.767     0.725    -0.484    -0.525
 0.0384    0.713     0.671    -0.537    -0.575
 0.0451    0.663     0.621    -0.581    -0.616
 0.0518    0.622     0.580    -0.615    -0.649
 0.0583    0.586     0.544    -0.644    -0.676
 0.0650    0.554     0.513    -0.669    -0.699
 0.0719    0.525     0.484    -0.690    -0.719
 0.0789    0.498     0.458    -0.709    -0.736
 0.0862    0.474     0.435    -0.726    -0.752
 0.0935    0.452     0.414    -0.740    -0.766
 0.1008    0.433     0.395    -0.753    -0.778
 0.1081    0.415     0.378    -0.765    -0.789
 0.1155    0.399     0.362    -0.776    -0.799
 0.1228    0.384     0.347    -0.785    -0.808
 0.1302    0.370     0.334    -0.794    -0.816
 0.1376    0.357     0.321    -0.802    -0.824
 0.1451    0.345     0.310    -0.810    -0.831
 0.1526    0.334     0.299    -0.816    -0.838
 0.1601    0.323     0.288    -0.823    -0.844
 0.1676    0.314     0.278    -0.829    -0.850
 0.1751    0.304     0.268    -0.834    -0.856
 0.1826    0.296     0.260    -0.840    -0.860
 0.1901    0.287     0.254    -0.844    -0.864
 0.1976    0.280     0.249    -0.849    -0.867
 0.2052    0.272     0.243    -0.853    -0.870
 0.2127    0.265     0.237    -0.857    -0.874
 0.2203    0.259     0.231    -0.861    -0.877
 0.2279    0.252     0.224    -0.865    -0.881
 0.2354    0.246     0.218    -0.869    -0.885
 0.2430    0.240     0.212    -0.872    -0.888
 0.2506    0.234     0.206    -0.875    -0.891
 0.2582    0.228     0.200    -0.879    -0.895
 0.2657    0.223     0.195    -0.882    -0.898
 0.2733    0.218     0.189    -0.884    -0.901
 0.2809    0.213     0.184    -0.887    -0.903
 0.2885    0.208     0.180    -0.890    -0.906
 0.2961    0.204     0.175    -0.892    -0.908
 0.3037    0.200     0.171    -0.895    -0.911
 0.3113    0.195     0.167    -0.897    -0.913
 0.3189    0.191     0.162    -0.899    -0.915
 0.3265    0.187     0.158    -0.902    -0.918
 0.3341    0.183     0.155    -0.904    -0.920
 0.3417    0.180     0.151    -0.906    -0.922
 0.3493    0.176     0.147    -0.908    -0.924
 0.3569    0.172     0.144    -0.910    -0.925
 0.3645    0.169     0.140    -0.912    -0.927
 0.3721    0.166     0.137    -0.914    -0.929
 0.3797    0.162     0.134    -0.915    -0.931
 0.3873    0.159     0.131    -0.917    -0.932
 0.3949    0.156     0.128    -0.919    -0.934
 0.4025    0.153     0.125    -0.920    -0.936
 0.4101    0.151     0.122    -0.922    -0.937
 0.4178    0.148     0.119    -0.923    -0.938
 0.4254    0.145     0.117    -0.925    -0.940
 0.4330    0.142     0.114    -0.926    -0.941
 0.4406    0.140     0.112    -0.928    -0.943
 0.4482    0.137     0.109    -0.929    -0.944
 0.4558    0.135     0.107    -0.930    -0.945
 0.4634    0.133     0.105    -0.931    -0.946
 0.4710    0.131     0.102    -0.933    -0.948
 0.4786    0.129     0.100    -0.934    -0.949
 0.4862    0.127     0.098    -0.935    -0.950
 0.4938    0.125     0.097    -0.936    -0.951
 0.5014    0.123     0.095    -0.936    -0.952
 0.5090    0.122     0.093    -0.937    -0.952
 0.5166    0.120     0.091    -0.938    -0.953
 0.5243    0.118     0.090    -0.939    -0.954
 0.5319    0.117     0.088    -0.940    -0.955
 0.5395    0.115     0.087    -0.941    -0.956
 0.5471    0.114     0.085    -0.941    -0.956
 0.5547    0.113     0.084    -0.942    -0.957
 0.5623    0.111     0.083    -0.943    -0.958
 0.5699    0.110     0.082    -0.943    -0.958
 0.5775    0.110     0.081    -0.944    -0.959
 0.5851    0.109     0.080    -0.944    -0.959
 0.5927    0.108     0.079    -0.944    -0.960
 0.6003    0.108     0.079    -0.945    -0.960
 0.6079    0.107     0.078    -0.945    -0.960
 0.6155    0.107     0.078    -0.945    -0.960
 0.6231    0.107     0.078    -0.945    -0.960
 0.6307    0.107     0.077    -0.945    -0.961
 0.6383    0.107     0.077    -0.945    -0.961
 0.6459    0.107     0.077    -0.945    -0.961
 0.6535    0.107     0.078    -0.945    -0.960
 0.6611    0.107     0.078    -0.945    -0.960
 0.6687    0.108     0.078    -0.945    -0.960
 0.6763    0.108     0.079    -0.944    -0.960
 0.6839    0.109     0.080    -0.944    -0.959
 0.6915    0.110     0.080    -0.943    -0.959
 0.6991    0.111     0.081    -0.943    -0.959
 0.7067    0.112     0.082    -0.942    -0.958
 0.7143    0.114     0.083    -0.942    -0.958
 0.7219    0.115     0.084    -0.941    -0.957
 0.7295    0.117     0.085    -0.940    -0.956
 0.7371    0.119     0.087    -0.939    -0.956
 0.7447    0.120     0.088    -0.938    -0.955
 0.7523    0.122     0.089    -0.937    -0.954
 0.7600    0.124     0.091    -0.936    -0.954
 0.7676    0.126     0.093    -0.935    -0.953
 0.7752    0.128     0.094    -0.934    -0.952
 0.7829    0.130     0.096    -0.933    -0.951
 0.7905    0.132     0.097    -0.932    -0.950
 0.7981    0.134     0.099    -0.931    -0.949
 0.8058    0.136     0.101    -0.930    -0.948
 0.8134    0.139     0.102    -0.928    -0.948
 0.8210    0.141     0.104    -0.927    -0.947
 0.8287    0.144     0.106    -0.926    -0.946
 0.8363    0.146     0.108    -0.924    -0.944
 0.8440    0.149     0.110    -0.923    -0.943
 0.8516    0.152     0.113    -0.921    -0.942
 0.8593    0.156     0.115    -0.919    -0.941
 0.8669    0.159     0.118    -0.917    -0.940
 0.8745    0.163     0.120    -0.915    -0.938
 0.8822    0.167     0.123    -0.913    -0.937
 0.8898    0.171     0.125    -0.911    -0.935
 0.8974    0.175     0.128    -0.908    -0.934
 0.9050    0.179     0.131    -0.906    -0.933
 0.9126    0.184     0.133    -0.904    -0.931
 0.9202    0.189     0.136    -0.901    -0.930
 0.9277    0.194     0.138    -0.898    -0.928
 0.9353    0.199     0.141    -0.895    -0.927
 0.9428    0.205     0.144    -0.892    -0.926
 0.9503    0.211     0.146    -0.888    -0.924
 0.9577    0.218     0.147    -0.885    -0.923
 0.9651    0.224     0.149    -0.881    -0.923
 0.9723    0.231     0.149    -0.877    -0.923
 0.9793    0.238     0.148    -0.873    -0.923
 0.9859    0.246     0.146    -0.868    -0.924
 0.9920    0.257     0.143    -0.862    -0.926
 0.9971    0.267     0.137    -0.857    -0.929
 1.0000    0.276     0.150    -0.851    -0.922


