xflr5 v6.61
SD6060-104-88-MP
T1_Re0.225_M0.06_N9.0_XtrTop15%_XtrBot15%
Alpha =  12.0,  Re =   225000,  Ma = 0.0610,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 0.3797    0.423     0.302    -0.760    -0.835
 0.3873    0.417     0.296    -0.764    -0.839
 0.3949    0.411     0.290    -0.768    -0.843
 0.4025    0.405     0.285    -0.772    -0.846
 0.4101    0.400     0.279    -0.775    -0.849
 0.4178    0.394     0.273    -0.779    -0.853
 0.4254    0.389     0.268    -0.782    -0.856
 0.4330    0.383     0.262    -0.786    -0.859
 0.4406    0.378     0.257    -0.789    -0.862
 0.4482    0.373     0.252    -0.792    -0.865
 0.4558    0.368     0.246    -0.796    -0.868
 0.4634    0.363     0.241    -0.799    -0.871
 0.4710    0.358     0.236    -0.802    -0.874
 0.4786    0.353     0.232    -0.804    -0.877
 0.4862    0.349     0.227    -0.807    -0.879
 0.4938    0.344     0.222    -0.810    -0.882
 0.5014    0.340     0.218    -0.813    -0.885
 0.5090    0.336     0.213    -0.815    -0.887
 0.5166    0.332     0.209    -0.818    -0.890
 0.5243    0.328     0.205    -0.820    -0.892
 0.5319    0.324     0.200    -0.823    -0.894
 0.5395    0.320     0.196    -0.825    -0.897
 0.5471    0.316     0.192    -0.827    -0.899
 0.5547    0.312     0.188    -0.830    -0.901
 0.5623    0.308     0.184    -0.832    -0.904
 0.5699    0.305     0.180    -0.834    -0.906
 0.5775    0.302     0.176    -0.836    -0.908
 0.5851    0.298     0.173    -0.838    -0.910
 0.5927    0.295     0.169    -0.840    -0.912
 0.6003    0.292     0.166    -0.842    -0.914
 0.6079    0.289     0.162    -0.843    -0.915
 0.6155    0.287     0.159    -0.845    -0.917
 0.6231    0.284     0.156    -0.846    -0.919
 0.6307    0.281     0.153    -0.848    -0.920
 0.6383    0.279     0.150    -0.849    -0.922
 0.6459    0.277     0.147    -0.851    -0.924
 0.6535    0.274     0.144    -0.852    -0.925
 0.6611    0.272     0.142    -0.853    -0.927
